Probe Name,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29
STAT1,202.27,694.23,747.66,126.94,608.31,1125.07,1177.55,278.59,672.73,643.01,150.22,522.88,515.84,85.33,148.56,615.42,539.14,201.13,726.87,318.51,90.81,151.27,593.44,590.42,115.96,685.5,1254.21,1296.14,361.82
STAT2,37.28,459.24,609.33,73.61,195.18,827.69,1100.36,91.97,474.87,584.03,39.24,231.69,219.18,24.99,53.85,525.55,298.99,53.51,476.57,151.58,40.56,20,240.77,315.37,42.48,329.52,524.74,580.53,154.83
STAT3,210.66,267.25,340.89,129.08,336.98,515.75,703.66,196.3,251.68,343.48,164.8,146.86,174.9,95.08,165.27,310.64,270.36,175.3,262.31,154.14,104.74,20,177.04,259.64,101.04,499.4,283.01,347.75,235.97
STAT4,50.33,53.76,59.29,44.8,45.51,20,37.7,82.29,88.64,54.36,42.6,53.17,61.99,59.12,68.09,78.15,93.83,59.05,58.07,55,44.8,20,33.99,34.38,42.48,117.81,160.86,155.19,163.11
STAT5A,55.93,64.51,60.93,55.47,119.91,64.47,122.06,70.99,72.81,64.76,44.84,39.25,70.85,40.84,45.8,60.56,69.98,64.58,73.09,46.69,33.9,20,58.78,61.65,43.63,164.76,180.65,158.07,127.51
STAT5B,126.77,139.77,133.39,115.21,286.21,210.04,400.29,151.13,144.04,139.94,108.74,68.37,79.7,58.51,87.9,64.47,141.54,139.31,85.1,156.06,65.39,20,70.82,186.14,70.04,407.2,159.14,192.55,202.85
STAT6,76.43,87.55,67.52,70.41,133.04,79.03,68.21,112.4,85.48,62.45,71.75,58.24,77.49,54.85,52.61,52.75,60.43,106.1,69.08,80.59,62.36,20,99.14,99.59,58.55,165.61,182.37,83.34,149.04
SYK,113.72,133.62,158.1,113.08,334.35,257.87,405.68,156.51,98.14,170,96.41,59.5,91.88,64.61,93.47,72.29,127.23,132.86,94.11,103.61,72.05,20,114.72,186.14,89.55,226.22,141.94,143.7,143.24
SYT17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TAGAP,122.11,270.32,271.73,112.01,287.09,561.5,680.32,221.58,235.85,175.79,89.68,79.76,101.84,101.79,103.99,236.4,275.14,155,195.23,111.29,69.02,20,106.93,167.17,68.89,558.31,411.19,508.69,268.26
TAL1,49.4,35.33,20,41.6,54.27,43.67,20,116.71,34.82,30.07,77.35,53.17,43.17,56.68,122.56,101.59,58.84,116.25,94.11,31.34,45.41,20,28.33,20,49.37,155.37,186.67,155.19,161.45
TAP1,371.91,1113.54,1253.24,388.3,575.92,2017.23,3338.78,344.21,1332.79,1872.36,300.44,483.63,629.86,218.81,342.3,1060.86,1459.97,311.84,1089.3,659.4,253.67,491.62,736.48,1229.46,338.7,1860.16,1442.6,2034.75,1014.27
TAP2,40.08,81.4,111.98,27.74,97.15,170.53,253.1,30.66,115.55,145.72,23.54,36.72,39.85,23.16,31.57,87.92,119.28,29.52,79.09,43.49,24.82,20,44.61,84.18,25.26,143.42,102.37,137.95,107.64
TAPBP,140.75,218.1,261.85,149.35,267.83,295.31,407.47,156.51,188.36,311.1,126.68,151.92,201.47,170.66,112.04,162.16,194.03,137.47,233.28,211.06,125.32,166.4,237.23,272.69,124,451.6,430.11,321.88,392.46
TARP,217.18,188.92,167.98,119.48,92.78,87.34,20,123.16,177.28,25.44,108.74,116.48,130.62,159.08,105.85,44.94,60.43,140.24,82.1,135.59,144.09,20,118.26,117.37,126.29,198.05,380.22,275.9,413.16
TBK1,36.35,41.47,46.11,25.6,32.38,97.74,102.32,26.35,44.32,37.01,25.78,20,26.57,20,20,20,20,29.52,27.03,35.18,23.61,20,29.74,37.94,20,113.54,100.65,100.59,83.63
TBX21,82.96,118.27,105.4,83.21,44.64,58.23,20,53.24,63.32,27.76,43.72,65.83,77.49,81.67,36.52,41.03,34.99,57.2,52.06,70.99,70.83,20,62.32,53.35,40.18,116.95,243.44,209.8,233.49
TBXA2R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
TCF4,51.27,20,32.94,29.87,35.01,56.15,20,24.74,20,26.6,32.51,20,20,25.6,28.47,44.94,20,25.83,35.04,20,26.64,20,33.99,29.64,33.3,80.25,73.98,74.72,38.91
TCF7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.28,20,20,20.3,20,20,20,20,20,20,20,30.73,40.43,20,33.12
TFRC,27.96,20,20,21.34,23.63,20,20,29.58,20,20,20,20,26.57,32.3,37.76,20,20,31.37,23.03,20,20,20,20,20,20,133.17,160.86,63.23,120.88
TGFB1,219.98,253.43,258.55,194.15,252.95,224.6,197.45,226.42,180.45,207.01,213,221.56,304.41,226.73,168.36,138.71,130.41,220.5,217.26,251.99,207.66,189.09,198.28,206.29,194.03,506.23,619.36,505.81,583.72
TGFB2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,55.49,61.94,89.09,45.54
TGFB3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
