Probe Name,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29
PPBP,3994.99,2617.19,1898.79,1897.76,3946.57,5140.82,3121.58,5141.56,6257.15,2892.39,11579.4,9557.35,5218.21,5987.72,10783.86,9391.44,3759.66,11594.39,15494.51,6834.48,6502.28,5453.24,4108.02,2920.11,3585.61,35758,28987.07,22890.89,15919.46
PPIA,775.51,920.01,765.78,940.88,683.58,842.25,673.14,686.26,770.87,898.6,485.42,459.57,627.65,929.49,605.98,341.9,553.45,590.47,518.62,791.15,883.92,385.74,672.75,924.76,777.28,2835.06,2741.54,2460.09,4452.02
SDHA,54.99,20,20,44.8,54.27,20,35.9,49.48,49.07,34.69,25.78,26.59,35.42,35.35,32.19,20,38.17,44.29,36.04,50.53,35.72,20,52.4,33.2,42.48,86.22,110.11,97.71,122.54
TBP,20,20,37.88,37.34,20,20,20,20,20,25.44,20,31.65,27.67,24.99,20,20,20,20,20,24.94,23.61,20,24.79,23.71,27.56,41.83,28.39,20,37.26
TRIM39,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,38.42,48.17,20,39.74
TUBB,178.03,153.59,164.68,174.95,143.54,108.14,122.06,90.89,120.3,138.78,113.23,139.26,163.83,170.66,90.37,58.61,76.34,117.17,115.14,139.43,149.54,20,142.34,117.37,117.11,195.49,284.74,278.77,406.54
UBB,58790.51,40844.46,33313.7,39469.98,59298.3,33325.89,28031.4,72238.43,40599.48,18753.71,53501.32,37543.19,22847.63,27018.51,70146.45,95276.12,40639.04,48980.23,59979.67,16852.75,28805.59,40630.82,32748.71,21299.13,31100.53,108627.1,107475.05,101099.28,80728.3
NEG_A,9,2,2,4,4,9,5,10,4,3,6,2,3,3,4,10,5,1,2,5,3,4,2,4,11,16,24,30,24
NEG_B,3,2,5,1,4,2,5,2,2,6,10,9,7,5,9,3,4,3,1,3,10,2,9,2,5,10,14,15,16
NEG_C,2,3,2,1,3,3,6,3,1,4,2,2,5,2,2,2,3,2,1,2,4,3,1,2,4,11,8,16,7
NEG_D,5,4,7,5,9,3,13,3,7,6,6,8,5,5,6,3,7,3,7,9,10,1,6,6,5,16,11,6,13
NEG_E,7,7,5,4,6,2,5,7,2,5,7,2,5,6,12,6,10,5,8,6,4,9,5,2,6,12,31,27,35
NEG_F,13,9,8,5,1,8,11,8,15,12,6,5,7,10,7,5,6,5,5,9,5,4,9,5,6,30,20,29,29
NEG_G,2,5,6,3,2,3,6,4,3,4,4,1,6,4,7,1,1,5,2,7,1,2,5,2,5,8,8,9,7
NEG_H,5,4,3,3,1,5,7,1,2,5,7,1,5,3,1,2,5,2,5,9,4,1,4,4,1,10,5,11,13
POS_A,9123,8039,3816,4532,9475,7441,5522,16223,7750,6343,9289,5048,7058,5669,6702,6128,9529,10435,7261,7419,6399,4638,7701,6271,7514,48750,51409,57296,52798
POS_B,3113,2866,1440,1764,2395,2609,2073,3836,2707,2323,3007,1803,2580,2050,2239,2159,3343,2398,2508,2648,2369,1531,2675,2316,2717,14211,14471,16374,14892
POS_C,1453,1209,669,910,2031,1175,1262,2275,1150,1076,1260,889,1191,735,1149,1073,1270,1412,1022,1101,897,785,1162,1005,1173,3805,3997,4615,4117
POS_D,310,252,147,148,243,226,219,358,226,192,292,133,248,140,229,195,268,196,225,234,195,152,241,183,241,972,1022,1155,1091
POS_E,65,41,26,36,51,38,34,67,46,32,64,35,41,32,28,33,49,51,44,50,23,29,49,30,46,186,187,247,225
POS_F,21,27,11,12,10,13,20,28,20,15,20,14,22,15,19,24,44,23,18,16,19,12,21,15,22,138,172,186,167
